,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
140,Sebastien,Bazeille,30-34,FRA,1179,49,2:30:34,9034,2014,M
141,Martin,Kjall-Ohlsson,35-39,SWE,221,50,2:30:56,9056,2014,M
142,Roman,Weger,40-44,AUT,47,51,2:31:11,9071,2014,M
143,Ben,Leese,30-34,GBR,225,53,2:31:52,9112,2014,M
144,Claes,Bengtsson,30-34,SWE,204,54,2:31:57,9117,2014,M
145,Ole Kristian,Heggheim,40-44,NOR,218,55,2:32:13,9133,2014,M
146,Urige,Buta,35-39,NOR,18,56,2:32:13,9133,2014,M
147,José,Gaspar,35-39,POR,1048,57,2:32:42,9162,2014,M
148,Oscar Martin,Perez,30-34,ESP,1161,58,2:33:01,9181,2014,M
149,Billy,Demong,30-34,USA,1828,60,2:33:05,9185,2014,M
150,Tim,Clarke,30-34,AUS,1151,62,2:33:23,9203,2014,M
151,Antonello,Landi,35-39,ITA,1059,63,2:33:29,9209,2014,M
152,Jeff,Ares,30-34,USA,243,64,2:33:29,9209,2014,M
153,Greg,Cass,30-34,USA,208,65,2:33:41,9221,2014,M
154,Hermann,Achmueller,40-44,ITA,201,66,2:34:05,9245,2014,M
155,Philippe,Rolly,40-44,USA,45,67,2:34:32,9272,2014,M
156,Joseph,Darda,25-29,USA,211,68,2:34:53,9293,2014,M
157,Phillip,Falk,30-34,USA,213,69,2:34:53,9293,2014,M
158,Jeffrey,Stein,25-29,USA,1346,70,2:35:03,9303,2014,M
159,Patrick,Hearn,20-24,USA,1349,71,2:35:28,9328,2014,M
160,Teddy,Bezancon,30-34,FRA,1199,72,2:35:28,9328,2014,M
161,William,Vanos,40-44,USA,245,73,2:35:30,9330,2014,M
162,Sam,Krieg,35-39,USA,1829,75,2:36:00,9360,2014,M
163,Jeff,Bailey,25-29,USA,202,76,2:36:00,9360,2014,M
164,Brett,Coleman,40-44,AUS,1120,77,2:36:23,9383,2014,M
165,Sebastien,Charnay,35-39,FRA,210,78,2:36:23,9383,2014,M
166,Lars Martin,Steen,30-34,NOR,1401,80,2:36:27,9387,2014,M
167,Mac,Schneider,25-29,USA,1456,81,2:36:38,9398,2014,M
168,Alister,Gardner,30-34,CAN,1248,82,2:36:47,9407,2014,M
169,Bryan,Kovalsky,35-39,USA,222,83,2:36:51,9411,2014,M
170,Kyle,Sousa,25-29,USA,1520,84,2:36:52,9412,2014,M
171,Bryan,Sharkey,25-29,USA,241,85,2:36:55,9415,2014,M
172,Hector,Rivera,40-44,USA,237,86,2:37:03,9423,2014,M
173,Benjamin,Ludovici,25-29,USA,1091,88,2:37:20,9440,2014,M
174,Emiliano,Garcia,30-34,MEX,829,89,2:37:43,9463,2014,M
175,Christian,Dirscherl,30-34,GER,214,90,2:37:49,9469,2014,M
176,Antoine,Rondot,25-29,FRA,238,91,2:37:56,9476,2014,M
177,Jose Ruiz,Tagle,25-29,CHI,1115,92,2:38:00,9480,2014,M
178,Bjarke,Kobberoe,35-39,DEN,1167,93,2:38:03,9483,2014,M
179,Alejandro,Troncoso,25-29,USA,242,94,2:38:03,9483,2014,M
180,Piergiorgio,Conti,40-44,ITA,96,95,2:38:05,9485,2014,M
181,Carlos,Cardoso,30-34,POR,1827,96,2:38:22,9502,2014,M
182,Aaron,Beaber,30-34,USA,1450,97,2:38:29,9509,2014,M
183,Marcel,Tschopp,40-44,LIE,244,98,2:38:32,9512,2014,M
