,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
281,Norbo,Carter,25-29,USA,306,657,02:56:11,10571.0,2015,F
282,Bailey,Elizabeth,25-29,USA,302,661,02:56:15,10575.0,2015,F
283,Baliga,Sr. Stephanie,25-29,USA,379,671,02:56:23,10583.0,2015,F
284,Pollack,Jillian,25-29,USA,12036,683,02:56:29,10589.0,2015,F
285,Prelle,Monica,35-39,USA,373,695,02:56:41,10601.0,2015,F
286,Lee,Kerry,40-44,USA,341,706,02:56:51,10611.0,2015,F
287,Starosciak,Kaye,40-44,USA,156,713,02:56:57,10617.0,2015,F
288,Sole,Amy,30-34,GBR,2008,718,02:57:00,10620.0,2015,F
289,Kaskalla,Tana,35-39,USA,151,734,02:57:17,10637.0,2015,F
290,Wall,Cassidy,35-39,USA,158,740,02:57:31,10651.0,2015,F
291,Adams,Brooke,25-29,USA,5242,752,02:57:40,10660.0,2015,F
292,Russeau,Kaylin,20-24,USA,351,776,02:58:01,10681.0,2015,F
293,Stephen,Susie,35-39,GBR,6001,782,02:58:07,10687.0,2015,F
294,Eynon,Adrienne,35-39,USA,12139,792,02:58:17,10697.0,2015,F
295,Lederer,Krista,35-39,USA,294,794,02:58:18,10698.0,2015,F
296,Nearman,Holly,25-29,USA,179,795,02:58:18,10698.0,2015,F
297,O'Neil,Kathleen,25-29,USA,187,800,02:58:23,10703.0,2015,F
298,Stone,Tia,35-39,USA,169,804,02:58:25,10705.0,2015,F
299,Eakin,Laura,30-34,USA,10168,813,02:58:29,10709.0,2015,F
300,Chumba,Dickson,25-29,KEN,3,1,02:09:25,7765.0,2015,M
301,Kitwara,Sammy,25-29,KEN,2,2,02:09:50,7790.0,2015,M
302,Ndungu,Sammy,25-29,KEN,10,3,02:10:06,7806.0,2015,M
303,Gebru,Girmay Birhanu,25-29,ETH,6,4,02:10:07,7807.0,2015,M
304,Puskedra,Luke,25-29,USA,18,5,02:10:24,7824.0,2015,M
305,Korir,Wesley,30-34,KEN,8,6,02:10:39,7839.0,2015,M
306,Kibet,Elkanah,25-29,USA,36,7,02:11:31,7891.0,2015,M
307,Rotich,Lucas,25-29,KEN,11,8,02:13:39,8019.0,2015,M
308,Kuma,Abera,25-29,ETH,7,9,02:13:44,8024.0,2015,M
309,Cabada,Fernando,30-34,USA,13,10,02:15:36,8136.0,2015,M
310,Adams,Liam,25-29,AUS,16,11,02:16:29,8189.0,2015,M
311,Richards,Malcolm,30-34,USA,19,12,02:16:41,8201.0,2015,M
312,Wietecha,Scott,30-34,USA,23,13,02:17:02,8222.0,2015,M
